trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-63.39956251414168,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-113.95497315072808,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-79.6235386201737,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-32.427237694937695,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-76.00309804236451,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.951229424500714}",35,0,-121.47381183906637,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-117.41059113993214,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-127.70059836140294,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,14,-12.38448706187903,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-138.53350411213617,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-74.3777274190488,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-42.56227785090007,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-115.95348918860222,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-73.02103791671463,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,6,-120.50431913727061,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 2}",1
16,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,13,-69.3886240600833,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-81.26729277291415,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.8436648165963837}",20,0,-111.01436693959944,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.835270211411272}",25,12,-71.88543636555858,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-74.26705905084302,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-114.51269623465062,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,-80.18868438957311,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,1,-43.4503419172242,"{0: 15, 1: 7, 2: 1, 3: 1, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-131.71479360230992,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.7866278610665535}",35,0,-214.65862590686825,"{0: 21, 1: 3, 2: 7, 3: 0, 4: 4}",0
26,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,12,-3.48264573482156,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
