trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.53965346430405,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,2,-22.266585789737732,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.5176340317203,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.09648963709378,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.86086062045361,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.9387809094411,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.20289008566209,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.71706580004128,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,11,-5.349591533667773,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-19.911724530567554,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.42666337709562,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,16,-8.095306387443124,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.49626045144447,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.99326498096363,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,7,-76.036256817951,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.66942053928409,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.37293787047016,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-259.1567388778841,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.17083894892124,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.95773551552702,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.18869392986265,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.61031662446834,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.39752941982557,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,5,-173.4792234299728,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-117.69177703893655,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-50.12945748131692,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.8662044512296,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,2,-101.63780473593691,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-80.0896270786502,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,6,-45.9977315004871,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
